,column_type,count,mean,std,min,25%,50%,75%,max
episode_id,numeric,29000.0,49.5,28.866567751456696,0.0,24.75,49.5,74.25,99.0
step,numeric,29000.0,144.5,83.71673471968806,0.0,72.0,144.5,217.0,289.0
traffic_load,numeric,29000.0,0.5792599907173165,0.16516948026965436,0.2008422762155532,0.4351843819022178,0.5980008542537689,0.706068679690361,1.0
ue_count,numeric,29000.0,76.9575172413793,18.793367182738226,22.0,62.0,77.0,91.0,120.0
traffic_demand_bps,numeric,29000.0,236657596.2027586,115824207.58875994,29865288.0,135757204.0,230992864.0,318433136.0,600000000.0
time_ratio,numeric,29000.0,0.48327759197324416,0.27998907933006045,0.0,0.2408026755852843,0.48327759197324416,0.725752508361204,0.9665551839464884
traffic_load_t_plus_1,numeric,29000.0,0.5794068028844636,0.1649774456940434,0.2008422762155532,0.43536388128995895,0.5980008542537689,0.706068679690361,1.0
traffic_load_t_plus_5,numeric,29000.0,0.5797463596694429,0.16451332191099294,0.20968958735466,0.43576032668352127,0.5980008542537689,0.706068679690361,1.0
traffic_load_t_plus_10,numeric,29000.0,0.5798243094235659,0.16439428263544373,0.1711156070232391,0.43602211028337473,0.5980008542537689,0.706068679690361,1.0

[mobility_event_counts]
column,value,count
mobility_event,busy_period,14369
mobility_event,normal,10288
mobility_event,crowd_surge,4343
